workflow_id,workflow_name,source_repo,normalized_domain,workflow_family,fit,quality_tier,codex_usefulness,source_url_status,confidence,real_life_job,input_contract,output_artifact,validation_gate,human_review_boundary,safety_boundary,what_to_copy,what_to_ignore,canonical_source_url,tags
surface-0125,Moodle,ritik-prog/n8n-automation-templates-5000,education,education_support,source_taxonomy,silver,strong_reference,exact_page_reachable,medium,"Find Moodle-oriented automation examples for scheduled, polling, webhook, and integration workflows around education systems.","student/course/admin context, Moodle records or events, education materials, assessment or support data","lesson/support plan, assessment artifact, admin packet, or automation pattern note",Confirm the specific JSON template contents before copying behavior; folder listing alone only proves template names and platform category.,recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,Copy the source taxonomy idea: Moodle as an education workflow door with trigger/integration examples.,Ignore n8n runtime assumptions and any uninspected template internals until a specific JSON file is opened.,https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/Templates based on paltforms/Moodle,education;moodle;n8n;automation_templates;platform_inspiration;sparse_internals
surface-0042,Asset Management,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support post-acquisition commercial real estate asset-management analysis across budgeting, variance, collections, renewals, lease-up, capex, NOI, hold/sell/refi, and quarterly review workflows.","property operating data, rent rolls, T-12 or budget files, variance records, renewal context, capex plans, ownership or investor reporting context","evidence packet, due-diligence brief, caveated report, budget/variance review, capex tracker, NOI lever list, quarterly asset review memo","Verify the specific skill file before adopting detailed behavior; folder evidence supports category and job coverage, not full internal workflow guarantees.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,Copy the folder-level taxonomy and repeated-job labels for CRE asset operations.,"Ignore unverified financial recommendations, benchmark assumptions, and any platform-specific install behavior until individual files are inspected.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/asset-management,commercial_real_estate;asset_management;operations;budgeting;variance;capex;noi;evidence_audit
surface-0043,Brokerage,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support commercial real estate seller-side brokerage workflows from assignment intake and broker opinion of value through marketing, buyer process, bid leveling, negotiation brief, and PSA-to-close coordination.","property records, seller assignment context, market/comparable evidence, data-room materials, bid terms, buyer process notes, transaction documents","evidence packet, due-diligence brief, caveated report, broker opinion of value, listing proposal, offering memorandum or teaser, bid-leveling summary, negotiation brief",Verify the specific skill file and source evidence before adopting detailed behavior or valuation logic.,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,Copy the transaction-stage taxonomy and artifact-oriented workflow names.,"Ignore unverified valuation, legal, negotiation, or marketing claims until the relevant skill and supporting evidence are inspected.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/brokerage,commercial_real_estate;brokerage;investment_sales;bov;data_room;bid_leveling;transaction_coordination
surface-0044,CRE Due Diligence plugin pack,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,canonicalized,medium,"Route commercial real estate due-diligence requests across rent roll, operating expense, market, physical, environmental, title, and tenant-credit review workflows.","public records, source links, addresses, entity names, evidence files, rent rolls, T-12 operating expenses, market data, physical reports, environmental materials, title/survey materials, tenant credit data","evidence packet, due-diligence brief, caveated report, rent roll analysis, OpEx benchmark, market study, physical/environmental/title review, tenant credit review",Open the canonical plugin folder or SKILL entry point before copying routing behavior; README fallback supports package identity and included skill categories.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Copy the package grouping and due-diligence lane list as catalog metadata.,Ignore the broken original path and do not import plugin mechanics or unstated due-diligence conclusions without canonical file inspection.,https://github.com/ahacker-1/cre-agent-skills/tree/main/claude-code-plugins/cre-due-diligence,commercial_real_estate;due_diligence;plugin_pack;rent_roll;opex;market_study;environmental;title;tenant_credit
surface-0045,Capital Markets,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Compare capital stack, refinancing, recapitalization, special servicing, maturity, workout, lender update, and rescue-capital materials for a commercial real estate transaction or asset.","Capital stack records, term sheets, loan maturity data, lender or servicing correspondence, refinance assumptions, recapitalization materials, property/entity identifiers, and supporting source links or files.","Capital markets evidence packet, financing-risk brief, lender update package, term-sheet comparison, or caveated recapitalization memo.","Verify source documents are present, source links are reachable, financial assumptions are traceable, and unresolved caveats are explicitly preserved.","Human review recommended before any financing, investment, lender, or external-party decision; otherwise catalog use is reference-only.","Reference pattern only until copied into an ECC contract; do not present financing, legal, compliance, or investment conclusions as final without qualified human review.","Copy the packetized comparison pattern, source traceability, caveat discipline, and reviewer-style output framing.","Ignore transaction execution, negotiation, lender outreach, or decision automation unless a separate approved workflow contract exists.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/capital-markets,capital_markets;real_estate;due_diligence;evidence_audit;financing;reference_package
surface-0046,Closing,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,Coordinate closing checklist evidence and review funds-flow materials for a commercial real estate transaction.,"Closing checklist, transaction parties, funds-flow statement, escrow or payment instructions, title or legal source files, required approvals, dates, and evidence links.","Closing coordination checklist, funds-flow review packet, exception list, or caveated closing-readiness brief.","Confirm required closing artifacts exist, source files are linked, payment-sensitive items are flagged for human review, and exceptions are separated from confirmed facts.","Required before any payment, signature, wire, escrow, legal, or third-party closing action; optional only for internal reference cataloging.","Reference pattern only until copied into an ECC contract; do not initiate payments, sign documents, approve wires, or give legal conclusions.","Copy closing-readiness checklist structure, exception tracking, evidence status labels, and human escalation boundary.","Ignore transaction execution, funds movement, signature routing, or external communications without explicit approval.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/closing,closing;real_estate;due_diligence;evidence_audit;funds_flow;checklist
surface-0047,Document Ingestion,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Classify and parse commercial real estate diligence documents such as financials, offering memoranda, rent rolls, and related evidence files.","Uploaded or linked documents, document metadata, property/entity identifiers, OCR text where available, financial statements, offering memoranda, rent rolls, and source file references.","Classified document inventory, extracted data table, parser notes, source-linked evidence packet, or caveated ingestion report.","Check file provenance, document classification confidence, parse completeness, field-level source traceability, and unresolved OCR or extraction caveats.","Human review required before using extracted financial, lease, title, legal, safety, or compliance data for decisions; optional for catalog-only reference.",Reference pattern only until copied into an ECC contract; do not treat extracted fields as authoritative without source review.,"Copy document inventory, source-file preservation, field extraction with confidence/caveats, and parse validation gates.",Ignore assumptions that all source documents are private transaction files; adapt only the ingestion pattern to public evidence workflows.,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/document-ingestion,document_ingestion;real_estate;due_diligence;evidence_audit;extraction;parser
surface-0048,Due Diligence,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,medium-high,"Review commercial real estate environmental, legal/title, market, operating expense, physical inspection, rent roll, and tenant credit evidence before a transaction or asset decision.","Environmental reports, title/legal records, market data, operating statements, physical inspection materials, rent roll, tenant credit data, property identifiers, entity names, and cited source files or URLs.","Due-diligence packet, issue log, source-attributed evidence brief, risk register, or caveated reviewer report.","Require source reachability, field-level citation, separation of facts from interpretations, freshness checks, unresolved exception list, and mandatory human review for final conclusions.","Required before final action or conclusion, especially for legal/title, environmental, physical safety, credit, compliance, or investment use.","Must not make legal, medical, engineering, compliance, safety, credit, or investment conclusions without qualified human review.","Copy multi-lane evidence review, issue logs, source attribution, exception handling, and mandatory review boundary.","Ignore domain-specific conclusions and any implied authority to certify legal, environmental, engineering, tenant-credit, or safety status.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/due-diligence,due_diligence;real_estate;evidence_audit;title;environmental;physical_inspection;rent_roll
surface-0049,Financing,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Prepare, compare, and review lender outreach materials, financing quotes, and term sheets for a commercial real estate transaction.","Lender list, outreach draft, financing quotes, term sheets, borrower/property identifiers, loan assumptions, supporting financial documents, and source links or files.","Financing comparison packet, quote-comparison table, term-sheet draft or review brief, lender outreach package, and caveated financing memo.","Trace each financing term to its source, flag missing assumptions, compare quote fields consistently, and preserve caveats before any external use.","Human review required before lender contact, offer acceptance, borrower communication, investment decision, or external reliance; optional only for internal reference cataloging.","Reference pattern only until copied into an ECC contract; do not send outreach, negotiate terms, or provide financial/legal advice without approval and review.","Copy term comparison tables, assumption tracking, source-linked financing evidence, and review-before-external-action gates.","Ignore outreach execution, negotiation automation, and any claim that financing terms are advice or final recommendations.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/financing,financing;real_estate;due_diligence;evidence_audit;term_sheet;quote_comparison
surface-0050,Industrial,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support industrial commercial real estate diligence and underwriting workflows such as financing fit, investment committee memo preparation, lease abstract review, lease roster analysis, market study, physical inspection, tenant credit review, and underwriting model building.","property records, rent roll or lease roster, lease documents, market evidence, inspection details, tenant information, financing assumptions, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report, financing-fit note, IC memo, lease abstract review, market study, physical inspection summary, tenant credit review, underwriting model support","Verify the specific nested skill file and source evidence before copying detailed diligence, credit, inspection, or underwriting behavior into an ECC contract.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,Copy the category taxonomy and artifact names for industrial CRE diligence lanes.,"Do not infer legal, engineering, valuation, credit, or safety conclusions from the folder listing alone.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/industrial,commercial_real_estate;industrial;due_diligence;lease_review;market_study;physical_inspection;tenant_credit;underwriting
surface-0051,Legal,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support CRE legal diligence coordination around estoppels, insurance, loan documents, purchase and sale agreements, title and survey review, and transfer documents.","PSA document, title commitment, survey, estoppel certificates, tenant list, rent roll, loan documents, insurance requirements, policies, entity details, deal terms, public records, source links, evidence files","evidence packet, legal diligence checklist, caveated review brief, estoppel tracker, insurance compliance summary, loan document issue list, PSA review notes, title and survey review notes, transfer document preparation packet","Require source document traceability and human review before any final legal, title, insurance, loan, or closing conclusion or action.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Copy the legal diligence lane taxonomy and explicit review-gate posture.,Do not copy behavior that appears to provide legal advice or final legal conclusions without a licensed human review boundary.,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/legal,commercial_real_estate;legal_diligence;title_review;survey_review;psa;loan_documents;estoppels;insurance;human_review
surface-0052,Office,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support office CRE diligence and underwriting workflows around financing fit, IC memo writing, lease abstract review, market and flight-to-quality study, rent roll and stacking plan analysis, rollover and occupancy cost analysis, tenant credit and exposure, and TI/LC underwriting model building.","office property records, rent roll, stacking plan, leases, tenant details, market evidence, financing assumptions, rollover schedules, occupancy cost data, TI/LC assumptions, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report, financing-fit note, IC memo, lease abstract review, office market study, rent roll and stacking-plan analysis, rollover and occupancy-cost analysis, tenant credit and exposure review, TI/LC underwriting support","Verify nested skill content and source evidence before adopting detailed office-market, tenant-credit, lease, or underwriting logic.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,Copy the office-specific diligence lane names and expected artifact categories.,"Do not infer actual market, credit, lease, financing, or valuation conclusions from the folder listing alone.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/office,commercial_real_estate;office;due_diligence;lease_abstracts;stacking_plan;market_study;tenant_credit;underwriting
surface-0053,Skill Index,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,codex_config_candidate,gold,copy_or_adapt_now,exact_page_reachable,high,"Route CRE tasks to appropriate skill references by task type, required inputs, and paired knowledge bases across due diligence, underwriting, financing, legal, closing, and asset management workflows.","task description plus deal documents, rent roll data, operating statements, property address, reports, title and survey documents, loan documents, lender requirements, market data, and other evidence files named by the index entries","workflow routing entry, skill-selection brief, evidence packet, due-diligence brief, caveated report, indexed task-to-input mapping",Use the index only for routing; inspect the selected skill file and verify source evidence before copying detailed behavior or conclusions.,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Copy the index structure: skill name, use-when statement, key inputs, and paired knowledge base columns.",Do not treat index summaries as full workflow contracts or as sufficient evidence for regulated conclusions.,https://github.com/ahacker-1/cre-agent-skills/blob/main/docs/SKILL-INDEX.md,commercial_real_estate;skill_index;workflow_router;due_diligence;underwriting;financing;legal;closing;asset_management
surface-0054,Underwriting,ahacker-1/cre-agent-skills,real_estate,evidence_due_diligence,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Support CRE underwriting workflows for financial model building, investment committee memo writing, and scenario analysis.","rent roll analysis, operating expense data, purchase price, financing terms, base case pro forma, assumption ranges, due-diligence outputs, underwriting outputs, deal thesis, public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report, financial model support, pro forma, return calculation support, scenario analysis, IC memo","Validate all source assumptions and require human review before investment, financing, valuation, or external action decisions.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Copy the underwriting lane split among model building, scenario analysis, and IC memo synthesis.","Do not copy unstated financial advice, valuation decisions, lending decisions, or investment recommendations without a review gate.",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/underwriting,commercial_real_estate;underwriting;pro_forma;financial_model;scenario_analysis;ic_memo;due_diligence
surface-0087,Real estate industry pack,indranilbanerjee/contentforge,real_estate,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Check whether a content-production plugin has a real-estate skill pack relevant to evidence-backed property content or due-diligence briefs.,"The exact real-estate skill path was not reachable; README-supported inputs are content topics, brand/source material, citations, and internal-link targets.","README-supported artifact is a publication-ready docx with citations and quality appendices, not a proven real-estate evidence packet.",Find a reachable raw skill file or package manifest before classifying this as an actual real-estate skill.,Optional unless output affects a person or external system.,Keep as reference pattern until copied into an ECC contract; exact skill pack is not verified.,"Fact-checking gate, citation integrity checks, quality-gate pipeline, and structured document output ideas.",Do not infer real-estate due-diligence behavior from the missing skills/real-estate path.,https://github.com/indranilbanerjee/contentforge,real_estate;content_pipeline;fact_checking;quality_gates;broken_path
surface-0090,Real estate agents catalog entry,jim-schwoebel/awesome_ai_agents,real_estate,evidence_due_diligence,inspiration_catalog,needs_verification,use_with_caution,exact_page_sparse,low,Browse an AI-agent directory for real-estate-related entries that could inspire property operations or due-diligence workflows.,No concrete real-estate evidence workflow contract found; README is a broad curated list with a sparse real-estate operations mention.,No direct due-diligence artifact specified; any evidence packet or caveated report would need a separate ECC contract.,"Follow a specific linked project and verify its inputs, outputs, and safety boundaries before reuse.",Optional unless output affects a person or external system.,Keep as reference pattern until copied into an ECC contract; do not invent workflow behavior from a directory listing.,Category-discovery approach and pointers to real-estate-adjacent agent entries once independently verified.,Do not copy broad marketing descriptions or treat the README as a due-diligence implementation.,https://github.com/jim-schwoebel/awesome_ai_agents/blob/main/README.md,real_estate;agent_directory;inspiration_catalog;sparse
surface-0132,Zillow automation folder,ritik-prog/n8n-automation-templates-5000,real_estate,evidence_due_diligence,runtime_platform_inspiration,silver,strong_reference,exact_page_reachable,medium,"Use scheduled, polling, webhook, and notification automation patterns around property-platform data as inspiration for monitored real-estate evidence collection.","Folder contains JSON automation templates named around real_estate, schedule triggers, API polling, email, Google Sheets, Notion, Slack, and Zillow API interactions.","Runtime automation outputs appear to be email, spreadsheet, Notion, or Slack updates; evidence packets require a separate Codex/ECC integration layer.","Inspect individual JSON templates and confirm API terms, credentials, rate limits, and downstream write actions before adapting.","Recommended before sending, publishing, or writing externally.",Do not treat runtime platform as Codex architecture unless explicitly chosen; avoid external writes without approval.,"Trigger patterns, polling cadence ideas, and separation between source retrieval and notification destinations.","Do not copy platform-specific runtime wiring, credentials, or third-party write behavior into Codex without a separate contract.",https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/Templates based on paltforms/Zillow,real_estate;zillow;automation_templates;polling;notifications;runtime_inspiration
surface-0037,Security & Verification,agentskillexchange/skills,public_evidence,case_intake_review,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,high,"Find reusable security, verification, vulnerability scanning, secret handling, and human-approval skill references before adopting or adapting a workflow.","Repository category page, README content, listed skill entries, source links, and local catalog context.",Matched router surface with candidate security-verification skill/package references and caveats for ECC adaptation.,"Verify the category page is reachable, inspect listed skills before copying patterns, and confirm any referenced tool behavior from its canonical source before use.","Optional for catalog lookup; required before using any pentest, security scan, approval gate, or external-system-affecting workflow against real targets.","Treat as reference only until converted into an ECC contract with explicit authorization, scope, target, rate, and third-party action limits.","Category taxonomy, security-verification grouping, list-style registry shape, and evidence fields such as stars/downloads when independently verified.","Do not copy individual tool claims, attack workflows, or popularity metrics into an operational workflow without separate source validation and authorization boundaries.",https://github.com/agentskillexchange/skills/tree/main/categories/security-verification,security;verification;skill-registry;category-index;human-review;safety-gates
surface-0155,/qa,tinh2/skills-hub-registry,public_evidence,case_intake_review,codex_config_candidate,gold,copy_or_adapt_now,canonicalized,high,"Run a full application QA and UX review across screens, API endpoints, domain consistency, integration paths, and cleanup/reporting.","Project directory or focus arguments such as screen, feature, module, backend/frontend/full scope, phase start, plus optional reference context.","QA Report Summary with backend API results, screen results, domain analysis results, issues fixed, remaining issues, and design quality summary.","Discover project structure, start required services only when executing, verify endpoints/screens systematically, re-run checks after fixes, and clean up background processes.","Human approval is required before running mutating fixes, commits, service starts with side effects, or any test using real credentials or external systems.","Catalog as a QA workflow reference; avoid executing autonomous fixes, commits, or third-party actions without explicit approval and a local ECC contract.","Phased QA structure: input/scope, project detection, API verification, screen audit, domain consistency, integration verification, report and cleanup.","Do not copy unconditional autonomous fixing, committing, or telemetry behavior into Codex/ECC catalog behavior.",https://raw.githubusercontent.com/tinh2/skills-hub-registry/main/qa/qa/SKILL.md,qa;e2e;ux-review;api-verification;config-package;app-audit
