id,repo,cluster,door,door_level,primary_category,primary_domain,primary_pattern,domain_tags,workflow_pattern_tags,fit,priority,expansion_status,browse_use,input_contract_hint,output_artifact_hint,human_review_boundary,safety_boundary,source_url,needs_second_pass,confidence
surface-0084,indranilbanerjee/contentforge,Domain-Specific Workflow Packs,Legal industry pack,category_surface,Case Intake / Legal Review,legal,CaseIntake,legal,CaseIntake;HumanReview,skill/package reference,1,high_value_needs_expansion,"messy intake, legal review, case setup, redline and approval workflows","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/indranilbanerjee/contentforge/tree/main/skills/legal,True,high
surface-0008,CaseMark/skills,Domain-Specific Workflow Packs,OCR,workflow_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,skill/package reference,1,ready_to_classify,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/CaseMark/skills/tree/main/casedev/ocr,False,high
surface-0009,CaseMark/skills,Domain-Specific Workflow Packs,Redline,workflow_surface,Document Transformation,document_processing,DocumentTransformation,document_processing;legal,DocumentTransformation;CaseIntake;HumanReview,skill/package reference,1,ready_to_classify,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/casedev/redline,False,high
surface-0014,CaseMark/skills,Domain-Specific Workflow Packs,Transcription,workflow_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,skill/package reference,1,ready_to_classify,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/CaseMark/skills/tree/main/casedev/transcription,False,high
surface-0015,CaseMark/skills,Domain-Specific Workflow Packs,Vaults,workflow_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,skill/package reference,1,ready_to_classify,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/CaseMark/skills/tree/main/casedev/vaults,False,high
surface-0067,enescingoz/awesome-n8n-templates,Workflow/Automation Template Repos,Google Drive/Sheets,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation;QueueProcessing;AutomationTemplate,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/enescingoz/awesome-n8n-templates/tree/main/Google Drive & Sheets,True,high
surface-0071,enescingoz/awesome-n8n-templates,Workflow/Automation Template Repos,PDF Document Processing,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation;QueueProcessing;AutomationTemplate,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/enescingoz/awesome-n8n-templates/tree/main/PDF & Document Processing,True,high
surface-0089,indranilbanerjee/contentforge,Domain-Specific Workflow Packs,Templates,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation;QueueProcessing;AutomationTemplate,skill/package reference,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/indranilbanerjee/contentforge/tree/main/templates,True,high
surface-0091,marieai/marie-ai,Domain-Specific Workflow Packs,Agentic document intelligence docs,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/blob/main/README.md,True,high
surface-0094,marieai/marie-ai,Domain-Specific Workflow Packs,Document pipelines guide,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/blob/main/docs/document-pipelines.md,True,high
surface-0097,marieai/marie-ai,Domain-Specific Workflow Packs,Extract Engine,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/tree/main/marie/extract,True,high
surface-0099,marieai/marie-ai,Domain-Specific Workflow Packs,Form extraction,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/tree/main/examples/form-extraction,True,high
surface-0100,marieai/marie-ai,Domain-Specific Workflow Packs,Invoice processing,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/tree/main/examples/invoice-processing,True,high
surface-0105,marieai/marie-ai,Domain-Specific Workflow Packs,Template matching,category_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation,runtime/platform inspiration,1,high_value_needs_expansion,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/marieai/marie-ai/tree/main/marie/template_matching,True,high
surface-0152,tinh2/skills-hub-registry,Best Matches For Codex Config Packages,/document,workflow_surface,Document Transformation,document_processing,DocumentTransformation,document_processing,DocumentTransformation;ConfigPackage;SkillRegistry,skill/package reference,1,ready_to_classify,"OCR, PDF parsing, form extraction, document-to-structured-output patterns","PDFs, forms, files, extracted text, templates","structured extraction, completed draft, transformed document",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/tinh2/skills-hub-registry/tree/main/docs/document,False,high
surface-0082,indranilbanerjee/contentforge,Domain-Specific Workflow Packs,Education industry pack,category_surface,Education Workflow,education,EducationSupport,education,EducationSupport,skill/package reference,1,high_value_needs_expansion,"student support, curriculum, assessment, education admin workflow ideas","student/course/admin context, materials, assessment data","lesson/support plan, assessment artifact, admin packet",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/indranilbanerjee/contentforge/tree/main/skills/education,True,high
surface-0125,ritik-prog/n8n-automation-templates-5000,Workflow/Automation Template Repos,Moodle,category_surface,Education Workflow,education,EducationSupport,education,EducationSupport;QueueProcessing;AutomationTemplate,runtime/platform inspiration,1,high_value_needs_expansion,"student support, curriculum, assessment, education admin workflow ideas","student/course/admin context, materials, assessment data","lesson/support plan, assessment artifact, admin packet",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/Templates based on paltforms/Moodle,True,high
surface-0038,agentskillexchange/skills,Best Matches For Codex Config Packages,Security Operations & GRC Workflows,industry_lane,Evidence / Due Diligence,public_evidence,EvidenceAudit,public_evidence,EvidenceAudit;ComplianceSupport,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/agentskillexchange/skills/blob/main/industries/security-operations-grc-workflows.md,True,high
surface-0042,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Asset Management,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/asset-management,True,high
surface-0043,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Brokerage,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/brokerage,True,high
surface-0044,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,CRE Due Diligence plugin pack,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;public_evidence,DueDiligence;EvidenceAudit;ComplianceSupport;ConfigPackage;SkillRegistry,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/ahacker-1/cre-agent-skills/tree/main/plugins/cre-due-diligence,True,high
surface-0045,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Capital Markets,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;finance_or_crm,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/capital-markets,True,high
surface-0046,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Closing,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/closing,True,high
surface-0047,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Document Ingestion,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;document_processing,DueDiligence;EvidenceAudit;DocumentTransformation,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/document-ingestion,True,high
surface-0048,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Due Diligence,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;public_evidence,DueDiligence;EvidenceAudit;ComplianceSupport,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/due-diligence,True,high
surface-0049,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Financing,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/financing,True,high
surface-0050,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Industrial,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/industrial,True,high
surface-0051,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Legal,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;legal,DueDiligence;EvidenceAudit;CaseIntake;HumanReview,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/legal,True,high
surface-0052,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Office,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/office,True,high
surface-0053,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Skill Index,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit;ConfigPackage;SkillRegistry,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/blob/main/docs/SKILL-INDEX.md,True,high
surface-0054,ahacker-1/cre-agent-skills,Domain-Specific Workflow Packs,Underwriting,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate;finance_or_crm,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ahacker-1/cre-agent-skills/tree/main/skills/underwriting,True,high
surface-0061,ashishpatel26/500-AI-Agents-Projects,Big Multi-Industry Agent Catalogs,CrewAI Examples,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,inspiration catalog,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ashishpatel26/500-AI-Agents-Projects/tree/main/crewAI-examples,True,high
surface-0062,ashishpatel26/500-AI-Agents-Projects,Big Multi-Industry Agent Catalogs,CrewAI MCP Course,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,inspiration catalog,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/ashishpatel26/500-AI-Agents-Projects/tree/main/crewAI-MCP-Course,True,high
surface-0087,indranilbanerjee/contentforge,Domain-Specific Workflow Packs,Real estate industry pack,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,skill/package reference,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/indranilbanerjee/contentforge/tree/main/skills/real-estate,True,high
surface-0090,jim-schwoebel/awesome_ai_agents,Big Multi-Industry Agent Catalogs,Real Estate Agents,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit,inspiration catalog,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/jim-schwoebel/awesome_ai_agents/blob/main/README.md,True,high
surface-0132,ritik-prog/n8n-automation-templates-5000,Workflow/Automation Template Repos,Zillow,category_surface,Evidence / Due Diligence,real_estate,EvidenceAudit,real_estate,DueDiligence;EvidenceAudit;QueueProcessing;AutomationTemplate,runtime/platform inspiration,1,high_value_needs_expansion,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/Templates based on paltforms/Zillow,True,high
surface-0163,tinh2/skills-hub-registry,Best Matches For Codex Config Packages,compliance-suite,workflow_surface,Evidence / Due Diligence,public_evidence,EvidenceAudit,public_evidence,EvidenceAudit;ComplianceSupport;HumanReview;ConfigPackage;SkillRegistry,skill/package reference,1,ready_to_classify,"public evidence, permit/title/source audits, due-diligence packet patterns","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/tinh2/skills-hub-registry/tree/main/combo/compliance-suite,False,medium
surface-0022,agentskillexchange/skills,Best Matches For Codex Config Packages,AI Agency Operations & FDE Workflows,industry_lane,General Workflow Surface,general,WorkflowSurface,general,WorkflowSurface,skill/package reference,3,expand_on_query,general workflow discovery and future expansion,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/agentskillexchange/skills/blob/main/industries/ai-agency-operations.md,True,high
surface-0027,agentskillexchange/skills,Best Matches For Codex Config Packages,Data Platform & Analytics Engineering,industry_lane,General Workflow Surface,general,WorkflowSurface,general,WorkflowSurface,skill/package reference,3,expand_on_query,general workflow discovery and future expansion,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/agentskillexchange/skills/blob/main/industries/data-platform-analytics-engineering.md,True,high
surface-0007,CaseMark/skills,Domain-Specific Workflow Packs,Medical skills,category_surface,Healthcare / Medical Workflow,healthcare,HealthcareAdmin,healthcare,HealthcareAdmin;ComplianceSupport;HumanReview,skill/package reference,1,high_value_needs_expansion,"patient/referral/admin packets, medical document review, regulated human-review flows","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/med,True,high
surface-0016,FreedomIntelligence/OpenClaw-Medical-Skills,Domain-Specific Workflow Packs,Medical document workflows,category_surface,Healthcare / Medical Workflow,healthcare,HealthcareAdmin,healthcare;document_processing,HealthcareAdmin;ComplianceSupport;HumanReview;DocumentTransformation,skill/package reference,1,high_value_needs_expansion,"patient/referral/admin packets, medical document review, regulated human-review flows","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/tree/main/skills,True,high
surface-0017,FreedomIntelligence/OpenClaw-Medical-Skills,Domain-Specific Workflow Packs,Plugin manifest,catalog_manifest,Healthcare / Medical Workflow,healthcare,HealthcareAdmin,healthcare,HealthcareAdmin;ComplianceSupport;HumanReview;ConfigPackage;SkillRegistry,skill/package reference,1,high_value_needs_expansion,"patient/referral/admin packets, medical document review, regulated human-review flows","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/blob/main/openclaw.plugin.json,True,high
surface-0018,FreedomIntelligence/OpenClaw-Medical-Skills,Domain-Specific Workflow Packs,README Skills Overview,category_surface,Healthcare / Medical Workflow,healthcare,HealthcareAdmin,healthcare,HealthcareAdmin;ComplianceSupport;HumanReview,skill/package reference,1,high_value_needs_expansion,"patient/referral/admin packets, medical document review, regulated human-review flows","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/blob/main/README.md,True,high
surface-0021,K-Dense-AI/scientific-agent-skills,Domain-Specific Workflow Packs,README Available Skills,category_surface,Healthcare / Medical Workflow,healthcare,HealthcareAdmin,healthcare;research,HealthcareAdmin;ComplianceSupport;HumanReview;ResearchOps;ConfigPackage;SkillRegistry,skill/package reference,1,high_value_needs_expansion,"patient/referral/admin packets, medical document review, regulated human-review flows","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/K-Dense-AI/scientific-agent-skills/blob/main/README.md,True,high
